[log]nombre;formateado;real
[16:32:10  +0000]CON-CIENCIA-COL2;00:06:793;6.793964
[16:39:58  +0000]Trackino;00:28:923;28.923705
[16:41:43  +0000]Trackino;00:44:163;44.163719
[16:42:41  +0000]Trackino;00:29:472;29.472326
[16:45:55  +0000]CRU;01:07:109;67.109791
[16:46:37  +0000]CRU;00:04:997;4.997238
[16:48:12  +0000]CRU;01:00:880;60.880647
[16:49:01  +0000]Fabfast;00:09:027;9.027946
[16:49:26  +0000]Fabfast;00:07:534;7.534977
[16:49:59  +0000]Fabfast;00:12:507;12.507441
[16:51:53  +0000]Scuderia Robotic;01:13:270;73.270880
[16:53:27  +0000]Scuderia Robotic;01:09:257;69.257172
[16:55:04  +0000]Scuderia Robotic;01:09:323;69.323645
[16:56:56  +0000]Icaro 1;01:01:631;61.631241
[16:58:50  +0000]Icaro 1;01:43:904;103.904167
[17:01:20  +0000]TYR ROBOTICS;01:25:011;85.011163
[17:03:12  +0000]TYR ROBOTICS;01:24:590;84.590900
[17:06:13  +0000]TYR ROBOTICS;01:56:978;116.978643
[17:09:01  +0000]Team Tesla;01:24:482;84.482057
[17:11:16  +0000]Team Tesla;01:26:864;86.864372
[17:13:01  +0000]Team Tesla;00:16:761;16.761033
[17:14:39  +0000]Lightracers;00:14:376;14.376789
[17:15:53  +0000]Lightracers;00:47:315;47.315325
[17:17:09  +0000]Lightracers;00:47:579;47.579631
[17:20:24  +0000]G4;01:10:364;70.364850
[17:22:01  +0000]G4;01:09:763;69.763343
[17:23:36  +0000]G4;01:09:567;69.567879
